Case,Window_Start,Window_End,Mean_Rho,Relative_Drift,Rho_CV,Rho_Range_Over_Mean,Steady_State_Candidate,Lifted_Activation_Candidate
1_flat_lifted,0,100,0.1997,0.001,0.0148,0.0491,True,True
1_flat_lifted,25,125,0.1999,0.0013,0.0151,0.0491,True,True
1_flat_lifted,50,150,0.1999,0.0042,0.015,0.0491,True,True
1_flat_lifted,75,175,0.1997,0.0021,0.0142,0.049,True,True
1_flat_lifted,100,200,0.2,0.004,0.0146,0.0489,True,True
2_monotone_drift,0,100,0.1373,0.5484,0.1597,0.5691,False,True
2_monotone_drift,25,125,0.1562,0.4709,0.1372,0.5208,False,True
2_monotone_drift,50,150,0.1745,0.4194,0.1221,0.4445,False,True
2_monotone_drift,75,175,0.1929,0.3856,0.1123,0.3904,False,True
2_monotone_drift,100,200,0.212,0.3592,0.1046,0.3833,False,True
3_high_wobble,0,100,0.2002,0.1487,0.285,0.829,False,True
3_high_wobble,25,125,0.2004,0.0144,0.2865,0.8444,False,True
3_high_wobble,50,150,0.2006,0.1571,0.2837,0.8412,False,True
3_high_wobble,75,175,0.2007,0.0194,0.2818,0.841,False,True
3_high_wobble,100,200,0.2003,0.1656,0.2813,0.8271,False,True
4_low_trivial,0,100,0.0197,0.0145,0.0539,0.196,True,False
4_low_trivial,25,125,0.0198,0.0227,0.0556,0.1956,True,False
4_low_trivial,50,150,0.0199,0.0314,0.0557,0.1884,True,False
4_low_trivial,75,175,0.02,0.0077,0.0566,0.1908,True,False
4_low_trivial,100,200,0.0201,0.015,0.0561,0.1934,True,False
5_late_stabilization,0,100,0.1986,0.9984,0.2886,1.0044,False,True
5_late_stabilization,25,125,0.2425,0.7032,0.2064,0.6352,False,True
5_late_stabilization,50,150,0.2739,0.3749,0.1207,0.3985,False,True
5_late_stabilization,75,175,0.293,0.1131,0.0477,0.1989,False,True
5_late_stabilization,100,200,0.2997,0.0005,0.0092,0.0325,True,True
6_step_transition,0,100,0.1503,0.0087,0.0204,0.0652,True,True
6_step_transition,25,125,0.2002,1.1276,0.4344,1.0476,False,True
6_step_transition,50,150,0.2504,1.1978,0.4,0.8377,False,True
6_step_transition,75,175,0.3005,0.7503,0.289,0.6958,False,True
6_step_transition,100,200,0.3505,0.0,0.0085,0.0282,True,True
