scale,epoch,delta_rho,delta_psi,delta_Lambda,delta_p_act,delta_v,delta_u,delta_r,delta_drive
20x20,0,-0.21367499999999998,0.013649999999999999,-0.3545325832325068,-0.2174493095528785,0.0011318000000000161,0.0011318000000000161,0.001131799999999905,-1.6598959579300274
20x20,1,-0.21723750000000008,-0.004,-0.35992294164730676,-0.2174031098382746,9.461249999997978e-05,9.461249999997978e-05,9.461249999997978e-05,-1.689398797839227
20x20,2,-0.20957,0.026309999999999997,-0.359317938606903,-0.21001173044920318,0.006219390000000158,0.006219390000000047,0.006219390000000047,-1.6913842544276114
20x20,3,-0.19744499999999998,0.01888,-0.3517256779041948,-0.19747364135584242,0.01813798000000011,0.018139688459387737,0.018137979999999998,-1.6603945866167789
20x20,4,-0.18671499999999996,0.02626,-0.34596911633048216,-0.1865508410147395,0.028184250000000022,0.028192616307706864,0.028184250000000022,-1.6322914653219285
20x20,5,-0.173395,0.0280299999999999,-0.33497866782411795,-0.1723326163676298,0.04273386000000012,0.04274222630770674,0.04273386000000012,-1.5824771712964716
20x20,6,-0.156125,0.034999999999999996,-0.3218528432933075,-0.15722516208253,0.0586273100000001,0.05863567630770672,0.05862730999999988,-1.51850262317323
40x40,0,-0.21408124999999997,0.013650000000000101,-0.3518874215442252,-0.2169752885155738,0.0010839250000000966,0.0010839249999999856,0.0010839249999998746,-1.6474543736769012
40x40,1,-0.214790625,0.010609375,-0.352987876566351,-0.21425476108463387,0.0036148468749999108,0.003622391655298207,0.0036246813293203672,-1.6592282640779035
40x40,2,-0.20699499999999998,0.014139999999999996,-0.3540713638972805,-0.2076956486642019,0.008590817500000125,0.008612295755953459,0.008627447637885366,-1.6663820180891218
40x40,3,-0.1974825,0.018590000000000002,-0.3513351551961653,-0.1979033983519764,0.017048158429870508,0.0170678882559534,0.017085308821012446,-1.655665152034661
40x40,4,-0.18622,0.024999999999999998,-0.3451277708294822,-0.1860497855390602,0.027985501344887975,0.02800443075595338,0.028021851321012425,-1.628219833317929
40x40,5,-0.17362125,0.02667,-0.33619320606173314,-0.17352154961699828,0.04043348910572009,0.040449012286119856,0.04046681218936654,-1.5865070429969332
40x40,6,-0.1597424999999999,0.0280600000000001,-0.32481083659420174,-0.1596565183716805,0.0549262729145239,0.05493943596914963,0.05494745433474957,-1.531657877626807
