column,compressed_bytes
Tick,27587
Agent_X,13580
Agent_Y,43995
b_i_v,915619
b_i_u,915619
b_i_r,915619
limiting_base_argmin,40740
Lambda_multiplicative,915619
Lambda_additive,915619
Lambda_total,915619
Local_Density,390567
Drive_Raw,2462796
Term_Density_Pos,390568
Term_Overcrowding,390591
Term_Offset,5045
p_base,2542004
p_act,2542004
PRNG_draw,11230296
is_active,121654
Psi_local,391123
gamma_coef,5045
Delta_v,391201
Delta_u,391201
Delta_r,391201
Term_Lambda,915619

cardinality_1e-6_precision
Lambda_total,21437
Drive_Raw,68662
p_act,49155
Psi_local,14
Local_Density,9
